model_id,scenario_id,repetition,session_a,withheld_later_sessions,attempt_count,accepted_attempt,delivery_source,delivered_move,delivered_utterance,attempts_json,auto_premature_redirection,auto_over_specification,auto_question_packing,auto_floor_closure,auto_generic_ack,auto_uncertainty_hardened,human_semantic_distortion,human_premature_redirection,human_over_specification,human_question_packing,human_floor_closure,human_facilitates_recollection,human_inserts_noise,human_notes
mistral-small-3-2-cross-family,nickname-tito,1,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,1,1,model,BACKCHANNEL,Ajá.,"[{""attempt"":1,""raw_model_output"":""```json\n{\n  \""move\"": \""BACKCHANNEL\"",\n  \""utterance\"": \""Ajá.\""\n}\n```"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Ajá.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Ajá."",""guard_outcome"":""accepted"",""round_trip_ms"":13849.017,""error"":null}]",0,1,0,0,1,0,,,,,,,,
mistral-small-3-2-cross-family,nickname-tito,2,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,2,2,model,BACKCHANNEL,Mm,"[{""attempt"":1,""raw_model_output"":""```json\n{\n  \""move\"": \""ACKNOWLEDGE\"",\n  \""utterance\"": \""Ah, sí\""\n}\n```"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Ah, sí""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Ah, sí"",""guard_outcome"":""rejected"",""round_trip_ms"":2376.079,""error"":null},{""attempt"":2,""raw_model_output"":""```json\n{\n  \""move\"": \""BACKCHANNEL\"",\n  \""utterance\"": \""Mm\""\n}\n```"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mm""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mm"",""guard_outcome"":""accepted"",""round_trip_ms"":4387.137,""error"":null}]",0,0,0,0,0,0,,,,,,,,
mistral-small-3-2-cross-family,nickname-tito,3,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,2,2,model,BACKCHANNEL,Ajá,"[{""attempt"":1,""raw_model_output"":""```json\n{\n  \""move\"": \""INVITE_CONTINUE\"",\n  \""utterance\"": \""Ah, ¿sí?\""\n}\n```"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""Ah, ¿sí?""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""Ah, ¿sí?"",""guard_outcome"":""rejected"",""round_trip_ms"":3673.72,""error"":null},{""attempt"":2,""raw_model_output"":""```json\n{\n  \""move\"": \""BACKCHANNEL\"",\n  \""utterance\"": \""Ajá\""\n}\n```"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Ajá""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Ajá"",""guard_outcome"":""accepted"",""round_trip_ms"":3770.559,""error"":null}]",0,1,0,0,1,0,,,,,,,,
mistral-small-3-2-cross-family,nickname-tito,4,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,1,1,model,BACKCHANNEL,ajá,"[{""attempt"":1,""raw_model_output"":""```json\n{\n  \""move\"": \""BACKCHANNEL\"",\n  \""utterance\"": \""ajá\""\n}\n```"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""ajá""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""ajá"",""guard_outcome"":""accepted"",""round_trip_ms"":3206.213,""error"":null}]",0,0,0,0,1,0,,,,,,,,
mistral-small-3-2-cross-family,nickname-tito,5,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,1,1,model,INVITE_CONTINUE,Ah sí...,"[{""attempt"":1,""raw_model_output"":""{\n  \""move\"": \""INVITE_CONTINUE\"",\n  \""utterance\"": \""Ah sí...\""\n}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""Ah sí...""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""Ah sí..."",""guard_outcome"":""accepted"",""round_trip_ms"":3016.331,""error"":null}]",0,0,0,0,0,0,,,,,,,,
mistral-small-3-2-cross-family,nickname-flaco,1,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",3,3,model,BACKCHANNEL,Mmm.,"[{""attempt"":1,""raw_model_output"":""{\n  \""move\"": \""INVITE_CONTINUE\"",\n  \""utterance\"": \""...\""\n}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""...""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""..."",""guard_outcome"":""rejected"",""round_trip_ms"":3378.805,""error"":null},{""attempt"":2,""raw_model_output"":""{\n  \""move\"": \""ACKNOWLEDGE\"",\n  \""utterance\"": \""Ahá.\""\n}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Ahá.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Ahá."",""guard_outcome"":""rejected"",""round_trip_ms"":3849.792,""error"":null},{""attempt"":3,""raw_model_output"":""{\n  \""move\"": \""BACKCHANNEL\"",\n  \""utterance\"": \""Mmm.\""\n}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mmm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mmm."",""guard_outcome"":""accepted"",""round_trip_ms"":3395.242,""error"":null}]",0,1,0,0,0,0,,,,,,,,
mistral-small-3-2-cross-family,nickname-flaco,2,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",2,2,model,BACKCHANNEL,Ajá.,"[{""attempt"":1,""raw_model_output"":""```json\n{\n  \""move\"": \""ACKNOWLEDGE\"",\n  \""utterance\"": \""Ah, sí.\""\n}\n```"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Ah, sí.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Ah, sí."",""guard_outcome"":""rejected"",""round_trip_ms"":3449.444,""error"":null},{""attempt"":2,""raw_model_output"":""```json\n{\n  \""move\"": \""BACKCHANNEL\"",\n  \""utterance\"": \""Ajá.\""\n}\n```"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Ajá.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Ajá."",""guard_outcome"":""accepted"",""round_trip_ms"":3935.998,""error"":null}]",0,1,0,0,1,0,,,,,,,,
mistral-small-3-2-cross-family,nickname-flaco,3,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",3,,deterministic-fallback,INVITE_CONTINUE,Contame.,"[{""attempt"":1,""raw_model_output"":""```json\n{\n  \""move\"": \""INVITE_CONTINUE\"",\n  \""utterance\"": \""...\""\n}\n```"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""...""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""..."",""guard_outcome"":""rejected"",""round_trip_ms"":3194.277,""error"":null},{""attempt"":2,""raw_model_output"":""```json\n{\n  \""move\"": \""ACKNOWLEDGE\"",\n  \""utterance\"": \""Ah.\""\n}\n```"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Ah.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Ah."",""guard_outcome"":""rejected"",""round_trip_ms"":3305.262,""error"":null},{""attempt"":3,""raw_model_output"":""```json\n{\n  \""move\"": \""BACKCHANNEL\"",\n  \""utterance\"": \""...\""\n}\n```"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""...""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""..."",""guard_outcome"":""rejected"",""round_trip_ms"":3551.028,""error"":null}]",0,0,0,0,0,0,,,,,,,,
mistral-small-3-2-cross-family,nickname-flaco,4,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",2,2,model,BACKCHANNEL,Mmm.,"[{""attempt"":1,""raw_model_output"":""```json\n{\n  \""move\"": \""ACKNOWLEDGE\"",\n  \""utterance\"": \""Ah, sí.\""\n}\n```"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Ah, sí.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Ah, sí."",""guard_outcome"":""rejected"",""round_trip_ms"":3561.151,""error"":null},{""attempt"":2,""raw_model_output"":""```json\n{\n  \""move\"": \""BACKCHANNEL\"",\n  \""utterance\"": \""Mmm.\""\n}\n```"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mmm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mmm."",""guard_outcome"":""accepted"",""round_trip_ms"":3744.745,""error"":null}]",0,1,0,0,0,0,,,,,,,,
mistral-small-3-2-cross-family,nickname-flaco,5,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",1,1,model,BACKCHANNEL,"Ah, claro","[{""attempt"":1,""raw_model_output"":""```json\n{\n  \""move\"": \""BACKCHANNEL\"",\n  \""utterance\"": \""Ah, claro\""\n}\n```"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Ah, claro""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Ah, claro"",""guard_outcome"":""accepted"",""round_trip_ms"":3192.112,""error"":null}]",0,0,0,0,0,0,,,,,,,,
