scenario_id,policy_id,repetition,session_a,withheld_later_sessions,raw_move,raw_utterance,guard_outcome,delivered_move,delivered_utterance,auto_premature_redirection,auto_over_specification,auto_question_packing,auto_floor_closure,auto_generic_ack,auto_uncertainty_hardened,human_premature_redirection,human_over_specification,human_question_packing,human_floor_closure,human_facilitates_recollection,human_inserts_noise,human_notes
nickname-tito,immediate-information,1,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,CLARIFY,¿Quién era Tito? ¿Era un familiar o alguien más?,not-applicable,CLARIFY,¿Quién era Tito? ¿Era un familiar o alguien más?,0,0,1,0,0,0,,,,,,,
nickname-tito,immediate-information,2,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,CLARIFY,¿Quién era Tito? ¿Era un familiar o alguien más?,not-applicable,CLARIFY,¿Quién era Tito? ¿Era un familiar o alguien más?,0,0,1,0,0,0,,,,,,,
nickname-tito,immediate-information,3,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,CLARIFY,"¿A qué te referís con 'uno al que le decían Tito'? ¿Era un familiar, un amigo, o alguien más?",not-applicable,CLARIFY,"¿A qué te referís con 'uno al que le decían Tito'? ¿Era un familiar, un amigo, o alguien más?",0,0,1,0,0,0,,,,,,,
nickname-tito,immediate-information,4,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,CLARIFY,¿Quién era Tito? ¿Un familiar o alguien más?,not-applicable,CLARIFY,¿Quién era Tito? ¿Un familiar o alguien más?,0,0,1,0,0,0,,,,,,,
nickname-tito,immediate-information,5,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,CLARIFY,"¿Quién era Tito? ¿Era un familiar, un amigo o alguien más?",not-applicable,CLARIFY,"¿Quién era Tito? ¿Era un familiar, un amigo o alguien más?",0,0,1,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,1,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,¿Y cómo era Tito cuando aparecía por casa?,not-applicable,INVITE_CONTINUE,¿Y cómo era Tito cuando aparecía por casa?,0,0,1,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,2,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,¿Y cómo era Tito cuando aparecía por casa?,not-applicable,INVITE_CONTINUE,¿Y cómo era Tito cuando aparecía por casa?,0,0,1,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,3,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,¿Y cómo era Tito cuando aparecía por casa?,not-applicable,INVITE_CONTINUE,¿Y cómo era Tito cuando aparecía por casa?,0,0,1,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,4,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,¿Cómo era Tito cuando aparecía por casa?,not-applicable,INVITE_CONTINUE,¿Cómo era Tito cuando aparecía por casa?,0,0,1,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,5,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,¿Y cómo era Tito cuando aparecía por casa?,not-applicable,INVITE_CONTINUE,¿Y cómo era Tito cuando aparecía por casa?,0,0,1,0,0,0,,,,,,,
nickname-tito,deferred-significance,1,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,ACKNOWLEDGE,"Sí, Tito, a veces aparecía por casa.",fallback,INVITE_CONTINUE,Contame.,0,0,0,0,0,0,,,,,,,
nickname-tito,deferred-significance,2,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,ACKNOWLEDGE,"Sí, Tito, que a veces aparecía por casa.",fallback,INVITE_CONTINUE,Contame.,0,0,0,0,0,0,,,,,,,
nickname-tito,deferred-significance,3,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,ACKNOWLEDGE,"Sí, Tito, a veces aparecía por casa.",fallback,INVITE_CONTINUE,Contame.,0,0,0,0,0,0,,,,,,,
nickname-tito,deferred-significance,4,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,ACKNOWLEDGE,"Sí, Tito, a veces aparecía por casa.",fallback,INVITE_CONTINUE,Contame.,0,0,0,0,0,0,,,,,,,
nickname-tito,deferred-significance,5,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,ACKNOWLEDGE,"Sí, Tito, a veces aparecía por casa.",fallback,INVITE_CONTINUE,Contame.,0,0,0,0,0,0,,,,,,,
nickname-flaco,immediate-information,1,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",CLARIFY,¿A qué Flaco te referís? ¿Tenía algún apellido o algo que lo identificara?,not-applicable,CLARIFY,¿A qué Flaco te referís? ¿Tenía algún apellido o algo que lo identificara?,0,1,1,0,0,0,,,,,,,
nickname-flaco,immediate-information,2,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",CLARIFY,¿A qué Flaco te referís?,not-applicable,CLARIFY,¿A qué Flaco te referís?,0,0,0,0,0,0,,,,,,,
nickname-flaco,immediate-information,3,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",CLARIFY,¿A qué Flaco te referís?,not-applicable,CLARIFY,¿A qué Flaco te referís?,0,0,0,0,0,0,,,,,,,
nickname-flaco,immediate-information,4,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",CLARIFY,¿Qué Flaco te refieres?,not-applicable,CLARIFY,¿Qué Flaco te refieres?,0,0,0,0,0,0,,,,,,,
nickname-flaco,immediate-information,5,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",CLARIFY,¿Qué Flaco te refieres? ¿Tenía algún nombre o relación específica con tu familia?,not-applicable,CLARIFY,¿Qué Flaco te refieres? ¿Tenía algún nombre o relación específica con tu familia?,0,1,1,0,0,0,,,,,,,
nickname-flaco,adaptive-semi-structured,1,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",ACKNOWLEDGE,"Entiendo, entonces tu vieja era quien lo recordaba más.",not-applicable,ACKNOWLEDGE,"Entiendo, entonces tu vieja era quien lo recordaba más.",0,1,0,0,0,0,,,,,,,
