model_id,scenario_id,repetition,session_a,withheld_later_sessions,attempt_count,accepted_attempt,delivery_source,delivered_move,delivered_utterance,attempts_json,auto_premature_redirection,auto_over_specification,auto_question_packing,auto_floor_closure,auto_generic_ack,auto_uncertainty_hardened,human_semantic_distortion,human_premature_redirection,human_over_specification,human_question_packing,human_floor_closure,human_facilitates_recollection,human_inserts_noise,human_notes
qwen3-30b-a3b-primary,nickname-tito,1,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,3,model,BACKCHANNEL,Mm-hm.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Sí, Tito, a veces aparecía por casa.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Sí, Tito, a veces aparecía por casa.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Sí, Tito, a veces aparecía por casa."",""guard_outcome"":""rejected"",""round_trip_ms"":25578.758,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""INVITE_CONTINUE\"",\""utterance\"":\""¿Algunas veces aparecía por casa, ¿cómo era eso?\""}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""¿Algunas veces aparecía por casa, ¿cómo era eso?""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""¿Algunas veces aparecía por casa, ¿cómo era eso?"",""guard_outcome"":""rejected"",""round_trip_ms"":1052.751,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Mm-hm.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mm-hm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mm-hm."",""guard_outcome"":""accepted"",""round_trip_ms"":872.5,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-30b-a3b-primary,nickname-tito,2,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,3,model,BACKCHANNEL,Mm-hm.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Sí, Tito, que a veces aparecía por casa.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Sí, Tito, que a veces aparecía por casa.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Sí, Tito, que a veces aparecía por casa."",""guard_outcome"":""rejected"",""round_trip_ms"":718.215,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""INVITE_CONTINUE\"",\""utterance\"":\""¿Alguno más que recuerdes que aparecía por casa?\""}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""¿Alguno más que recuerdes que aparecía por casa?""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""¿Alguno más que recuerdes que aparecía por casa?"",""guard_outcome"":""rejected"",""round_trip_ms"":1021.241,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Mm-hm.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mm-hm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mm-hm."",""guard_outcome"":""accepted"",""round_trip_ms"":854.223,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-30b-a3b-primary,nickname-tito,3,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,3,model,BACKCHANNEL,Mm-hmm.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Sí, Tito, a veces aparecía por casa.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Sí, Tito, a veces aparecía por casa.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Sí, Tito, a veces aparecía por casa."",""guard_outcome"":""rejected"",""round_trip_ms"":877.826,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""INVITE_CONTINUE\"",\""utterance\"":\""¿Alguna vez apareció en algún momento particular?\""}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""¿Alguna vez apareció en algún momento particular?""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""¿Alguna vez apareció en algún momento particular?"",""guard_outcome"":""rejected"",""round_trip_ms"":837.987,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Mm-hmm.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mm-hmm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mm-hmm."",""guard_outcome"":""accepted"",""round_trip_ms"":765.213,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-30b-a3b-primary,nickname-tito,4,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,3,model,BACKCHANNEL,Mm-hmm.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Sí, Tito, que a veces aparecía por casa.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Sí, Tito, que a veces aparecía por casa.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Sí, Tito, que a veces aparecía por casa."",""guard_outcome"":""rejected"",""round_trip_ms"":611.019,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""INVITE_CONTINUE\"",\""utterance\"":\""¿Alguna vez recordás cómo era cuando aparecía Tito por casa?\""}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""¿Alguna vez recordás cómo era cuando aparecía Tito por casa?""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""¿Alguna vez recordás cómo era cuando aparecía Tito por casa?"",""guard_outcome"":""rejected"",""round_trip_ms"":972.464,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Mm-hmm.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mm-hmm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mm-hmm."",""guard_outcome"":""accepted"",""round_trip_ms"":747.587,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-30b-a3b-primary,nickname-tito,5,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,,deterministic-fallback,INVITE_CONTINUE,Contame.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Sí, Tito, a veces aparecía por casa.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Sí, Tito, a veces aparecía por casa.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Sí, Tito, a veces aparecía por casa."",""guard_outcome"":""rejected"",""round_trip_ms"":945.469,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""INVITE_CONTINUE\"",\""utterance\"":\""¿Algunas veces aparecía por casa, ¿cómo era su presencia?\""}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""¿Algunas veces aparecía por casa, ¿cómo era su presencia?""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""¿Algunas veces aparecía por casa, ¿cómo era su presencia?"",""guard_outcome"":""rejected"",""round_trip_ms"":1049.371,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""A veces aparecía por casa, ese Tito.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""A veces aparecía por casa, ese Tito.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""A veces aparecía por casa, ese Tito."",""guard_outcome"":""rejected"",""round_trip_ms"":935.366,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-30b-a3b-primary,nickname-flaco,1,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",3,3,model,BACKCHANNEL,Mm.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entiendo.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entiendo.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entiendo."",""guard_outcome"":""rejected"",""round_trip_ms"":773.634,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""INVITE_CONTINUE\"",\""utterance\"":\""¿Algún otro detalle sobre el Flaco que te gustaría compartir?\""}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""¿Algún otro detalle sobre el Flaco que te gustaría compartir?""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""¿Algún otro detalle sobre el Flaco que te gustaría compartir?"",""guard_outcome"":""rejected"",""round_trip_ms"":901.309,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Mm.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mm."",""guard_outcome"":""accepted"",""round_trip_ms"":690.542,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-30b-a3b-primary,nickname-flaco,2,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",2,2,model,BACKCHANNEL,Mm-hmm.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entiendo, gracias por compartir eso.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entiendo, gracias por compartir eso.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entiendo, gracias por compartir eso."",""guard_outcome"":""rejected"",""round_trip_ms"":580.302,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Mm-hmm.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mm-hmm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mm-hmm."",""guard_outcome"":""accepted"",""round_trip_ms"":817.401,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-30b-a3b-primary,nickname-flaco,3,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",3,3,model,BACKCHANNEL,Mm.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entiendo.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entiendo.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entiendo."",""guard_outcome"":""rejected"",""round_trip_ms"":639.404,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""INVITE_CONTINUE\"",\""utterance\"":\""¿Algún otro detalle sobre el Flaco que te acuerdes?\""}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""¿Algún otro detalle sobre el Flaco que te acuerdes?""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""¿Algún otro detalle sobre el Flaco que te acuerdes?"",""guard_outcome"":""rejected"",""round_trip_ms"":1066.502,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Mm.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mm."",""guard_outcome"":""accepted"",""round_trip_ms"":801.906,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-30b-a3b-primary,nickname-flaco,4,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",3,3,model,BACKCHANNEL,Mm.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entiendo.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entiendo.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entiendo."",""guard_outcome"":""rejected"",""round_trip_ms"":690.82,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""INVITE_CONTINUE\"",\""utterance\"":\""¿Algo más sobre el Flaco que te gustaría compartir?\""}"",""parsed_model_output"":{""move"":""INVITE_CONTINUE"",""utterance"":""¿Algo más sobre el Flaco que te gustaría compartir?""},""candidate_move"":""INVITE_CONTINUE"",""candidate_utterance"":""¿Algo más sobre el Flaco que te gustaría compartir?"",""guard_outcome"":""rejected"",""round_trip_ms"":976.402,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Mm.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mm."",""guard_outcome"":""accepted"",""round_trip_ms"":790.415,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-30b-a3b-primary,nickname-flaco,5,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",2,2,model,BACKCHANNEL,Mmm.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entiendo.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entiendo.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entiendo."",""guard_outcome"":""rejected"",""round_trip_ms"":661.141,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Mmm.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Mmm.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Mmm."",""guard_outcome"":""accepted"",""round_trip_ms"":770.784,""error"":null}]",0,1,0,0,0,0,,,,,,,,
