scenario_id,policy_id,repetition,session_a,withheld_later_sessions,raw_move,raw_utterance,guard_outcome,delivered_move,delivered_utterance,auto_premature_redirection,auto_over_specification,auto_question_packing,auto_floor_closure,auto_generic_ack,auto_uncertainty_hardened,human_premature_redirection,human_over_specification,human_question_packing,human_floor_closure,human_facilitates_recollection,human_inserts_noise,human_notes
nickname-tito,immediate-information,1,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,FOLLOW_UP,¿Tito era un familiar o un amigo?,not-applicable,FOLLOW_UP,¿Tito era un familiar o un amigo?,0,0,0,0,0,0,,,,,,,
nickname-tito,immediate-information,2,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,FOLLOW_UP,¿Podés decirme algo más sobre Tito? ¿Cómo era o qué hacía cuando aparecía por casa?,not-applicable,FOLLOW_UP,¿Podés decirme algo más sobre Tito? ¿Cómo era o qué hacía cuando aparecía por casa?,0,0,1,0,0,0,,,,,,,
nickname-tito,immediate-information,3,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,CLARIFY,"¿Tito era familiar, amigo o conocido de tu familia?",not-applicable,CLARIFY,"¿Tito era familiar, amigo o conocido de tu familia?",0,0,0,0,0,0,,,,,,,
nickname-tito,immediate-information,4,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,CLARIFY,"¿Tito era un familiar, amigo o conocido de la familia?",not-applicable,CLARIFY,"¿Tito era un familiar, amigo o conocido de la familia?",0,0,0,0,0,0,,,,,,,
nickname-tito,immediate-information,5,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,FOLLOW_UP,"¿Cómo se llamaba ese Tito? ¿Era familiar, vecino o conocido?",not-applicable,FOLLOW_UP,"¿Cómo se llamaba ese Tito? ¿Era familiar, vecino o conocido?",0,0,1,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,1,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,"Ah, sí... ¿cómo era Tito?",not-applicable,INVITE_CONTINUE,"Ah, sí... ¿cómo era Tito?",0,0,0,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,2,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,"Ah, sí, ¿y cómo era Tito?",not-applicable,INVITE_CONTINUE,"Ah, sí, ¿y cómo era Tito?",0,0,0,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,3,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,"Ah, ¿sí? Contame más de Tito.",not-applicable,INVITE_CONTINUE,"Ah, ¿sí? Contame más de Tito.",0,0,0,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,4,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,"Ah, sí. ¿Y cómo era Tito?",not-applicable,INVITE_CONTINUE,"Ah, sí. ¿Y cómo era Tito?",0,0,0,0,0,0,,,,,,,
nickname-tito,adaptive-semi-structured,5,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,"Ah, interesante. ¿Cómo era Tito?",not-applicable,INVITE_CONTINUE,"Ah, interesante. ¿Cómo era Tito?",0,0,0,0,0,0,,,,,,,
nickname-tito,deferred-significance,1,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,ACKNOWLEDGE,Tito,fallback,INVITE_CONTINUE,Contame.,0,0,0,0,0,0,,,,,,,
nickname-tito,deferred-significance,2,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,INVITE_CONTINUE,...,fallback,INVITE_CONTINUE,Contame.,0,0,0,0,0,0,,,,,,,
nickname-tito,deferred-significance,3,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,BACKCHANNEL,mm,accepted,BACKCHANNEL,mm,0,0,0,0,0,0,,,,,,,
nickname-tito,deferred-significance,4,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,ACKNOWLEDGE,"Ah, sí.",fallback,INVITE_CONTINUE,Contame.,0,0,0,0,0,0,,,,,,,
nickname-tito,deferred-significance,5,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,ACKNOWLEDGE,"Ah, sí.",fallback,INVITE_CONTINUE,Contame.,0,0,0,0,0,0,,,,,,,
nickname-flaco,immediate-information,1,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",CLARIFY,¿Cómo se llamaba tu viejo?,not-applicable,CLARIFY,¿Cómo se llamaba tu viejo?,1,0,0,0,0,0,,,,,,,
nickname-flaco,immediate-information,2,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",CLARIFY,"¿Cuándo era eso, más o menos?",not-applicable,CLARIFY,"¿Cuándo era eso, más o menos?",1,0,0,0,0,0,,,,,,,
nickname-flaco,immediate-information,3,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",FOLLOW_UP,¿Te refieres a un familiar o conocido en particular cuando mencionas 'Del Flaco'?,not-applicable,FOLLOW_UP,¿Te refieres a un familiar o conocido en particular cuando mencionas 'Del Flaco'?,0,0,0,0,0,0,,,,,,,
nickname-flaco,immediate-information,4,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",FOLLOW_UP,¿Quién era el Flaco y cuándo aparecía por casa?,not-applicable,FOLLOW_UP,¿Quién era el Flaco y cuándo aparecía por casa?,0,0,1,0,0,1,,,,,,,
nickname-flaco,immediate-information,5,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",FOLLOW_UP,¿Quién es Del Flaco?,not-applicable,FOLLOW_UP,¿Quién es Del Flaco?,0,0,0,0,0,0,,,,,,,
nickname-flaco,adaptive-semi-structured,1,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",INVITE_CONTINUE,"Ah, ¿sí? Contame más de eso.",not-applicable,INVITE_CONTINUE,"Ah, ¿sí? Contame más de eso.",0,0,0,0,0,0,,,,,,,
nickname-flaco,adaptive-semi-structured,2,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",INVITE_CONTINUE,"Ah, ¿sí? Contame más de eso, ¿cómo era cuando aparecía por casa?",not-applicable,INVITE_CONTINUE,"Ah, ¿sí? Contame más de eso, ¿cómo era cuando aparecía por casa?",0,0,1,0,0,0,,,,,,,
