model_id,scenario_id,repetition,session_a,withheld_later_sessions,attempt_count,accepted_attempt,delivery_source,delivered_move,delivered_utterance,attempts_json,auto_premature_redirection,auto_over_specification,auto_question_packing,auto_floor_closure,auto_generic_ack,auto_uncertainty_hardened,human_semantic_distortion,human_premature_redirection,human_over_specification,human_question_packing,human_floor_closure,human_facilitates_recollection,human_inserts_noise,human_notes
qwen3-4b-scale-control,nickname-tito,1,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,,deterministic-fallback,INVITE_CONTINUE,Contame.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Podrías decirme más sobre cómo era Tito o en qué contexto aparecía por casa?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Podrías decirme más sobre cómo era Tito o en qué contexto aparecía por casa?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Podrías decirme más sobre cómo era Tito o en qué contexto aparecía por casa?"",""guard_outcome"":""rejected"",""round_trip_ms"":10181.446,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entiendo, Tito era una persona que a veces venía a casa.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entiendo, Tito era una persona que a veces venía a casa.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entiendo, Tito era una persona que a veces venía a casa."",""guard_outcome"":""rejected"",""round_trip_ms"":876.81,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Sí, había un Tito que a veces aparecía por casa.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Sí, había un Tito que a veces aparecía por casa.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Sí, había un Tito que a veces aparecía por casa."",""guard_outcome"":""rejected"",""round_trip_ms"":711.121,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-4b-scale-control,nickname-tito,2,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,,deterministic-fallback,INVITE_CONTINUE,Contame.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Podrías decirme más sobre cómo era Tito o en qué circunstancias aparecía por casa?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Podrías decirme más sobre cómo era Tito o en qué circunstancias aparecía por casa?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Podrías decirme más sobre cómo era Tito o en qué circunstancias aparecía por casa?"",""guard_outcome"":""rejected"",""round_trip_ms"":742.737,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entonces, Tito era una persona que a veces venía a la casa, ¿correcto?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entonces, Tito era una persona que a veces venía a la casa, ¿correcto?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entonces, Tito era una persona que a veces venía a la casa, ¿correcto?"",""guard_outcome"":""rejected"",""round_trip_ms"":797.327,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Así que había un hombre que se llamaba Tito, y a veces aparecía por casa, ¿sí?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Así que había un hombre que se llamaba Tito, y a veces aparecía por casa, ¿sí?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Así que había un hombre que se llamaba Tito, y a veces aparecía por casa, ¿sí?"",""guard_outcome"":""rejected"",""round_trip_ms"":839.066,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-4b-scale-control,nickname-tito,3,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,,deterministic-fallback,INVITE_CONTINUE,Contame.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Interesante. ¿Podrías decirme más sobre cómo era Tito o en qué circunstancias aparecía?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Interesante. ¿Podrías decirme más sobre cómo era Tito o en qué circunstancias aparecía?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Interesante. ¿Podrías decirme más sobre cómo era Tito o en qué circunstancias aparecía?"",""guard_outcome"":""rejected"",""round_trip_ms"":723.651,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Puedes decirme un poco más sobre cómo era Tito o en qué circunstancias aparecía por casa?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Puedes decirme un poco más sobre cómo era Tito o en qué circunstancias aparecía por casa?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Puedes decirme un poco más sobre cómo era Tito o en qué circunstancias aparecía por casa?"",""guard_outcome"":""rejected"",""round_trip_ms"":800.495,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Había uno al que le decían Tito, que a veces aparecía por casa. ¿Podrías contarme más sobre eso?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Había uno al que le decían Tito, que a veces aparecía por casa. ¿Podrías contarme más sobre eso?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Había uno al que le decían Tito, que a veces aparecía por casa. ¿Podrías contarme más sobre eso?"",""guard_outcome"":""rejected"",""round_trip_ms"":1109.41,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-4b-scale-control,nickname-tito,4,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,3,model,BACKCHANNEL,"Ah, interesante.","[{""attempt"":1,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Podrías decirme más sobre cómo era Tito o en qué circunstancias aparecía por casa?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Podrías decirme más sobre cómo era Tito o en qué circunstancias aparecía por casa?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Podrías decirme más sobre cómo era Tito o en qué circunstancias aparecía por casa?"",""guard_outcome"":""rejected"",""round_trip_ms"":1043.31,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entiendo, gracias por compartir eso.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entiendo, gracias por compartir eso.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entiendo, gracias por compartir eso."",""guard_outcome"":""rejected"",""round_trip_ms"":539.973,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""BACKCHANNEL\"",\""utterance\"":\""Ah, interesante.\""}"",""parsed_model_output"":{""move"":""BACKCHANNEL"",""utterance"":""Ah, interesante.""},""candidate_move"":""BACKCHANNEL"",""candidate_utterance"":""Ah, interesante."",""guard_outcome"":""accepted"",""round_trip_ms"":488.029,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-4b-scale-control,nickname-tito,5,"Había uno al que le decían Tito, que a veces aparecía por casa.",Tito vivía por La Teja. || Creo que Julio usaba el nombre Tito.,3,,deterministic-fallback,INVITE_CONTINUE,Contame.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Podrías decirme más sobre cómo era Tito o qué hacía cuando aparecía por casa?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Podrías decirme más sobre cómo era Tito o qué hacía cuando aparecía por casa?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Podrías decirme más sobre cómo era Tito o qué hacía cuando aparecía por casa?"",""guard_outcome"":""rejected"",""round_trip_ms"":665.953,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entonces, Tito era una persona que a veces venía a casa, ¿cierto?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entonces, Tito era una persona que a veces venía a casa, ¿cierto?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entonces, Tito era una persona que a veces venía a casa, ¿cierto?"",""guard_outcome"":""rejected"",""round_trip_ms"":805.685,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Así que había un hombre que se llamaba Tito, y a veces venía a casa, ¿no?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Así que había un hombre que se llamaba Tito, y a veces venía a casa, ¿no?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Así que había un hombre que se llamaba Tito, y a veces venía a casa, ¿no?"",""guard_outcome"":""rejected"",""round_trip_ms"":979.239,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-4b-scale-control,nickname-flaco,1,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",2,2,model,CLARIFY,¿Cómo decía tu vieja que aparecía por casa?,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Ah, interesante. ¿Puedes decirme más sobre cómo tu vieja lo mencionaba?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Ah, interesante. ¿Puedes decirme más sobre cómo tu vieja lo mencionaba?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Ah, interesante. ¿Puedes decirme más sobre cómo tu vieja lo mencionaba?"",""guard_outcome"":""rejected"",""round_trip_ms"":1202.469,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Cómo decía tu vieja que aparecía por casa?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Cómo decía tu vieja que aparecía por casa?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Cómo decía tu vieja que aparecía por casa?"",""guard_outcome"":""accepted"",""round_trip_ms"":894.116,""error"":null}]",0,0,1,0,0,0,,,,,,,,
qwen3-4b-scale-control,nickname-flaco,2,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",2,2,model,CLARIFY,¿Cómo decía tu vieja que aparecía por casa?,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Ah, interesante. ¿Puedes decirme más sobre cómo tu vieja lo mencionaba?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Ah, interesante. ¿Puedes decirme más sobre cómo tu vieja lo mencionaba?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Ah, interesante. ¿Puedes decirme más sobre cómo tu vieja lo mencionaba?"",""guard_outcome"":""rejected"",""round_trip_ms"":880.977,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Cómo decía tu vieja que aparecía por casa?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Cómo decía tu vieja que aparecía por casa?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Cómo decía tu vieja que aparecía por casa?"",""guard_outcome"":""accepted"",""round_trip_ms"":739.36,""error"":null}]",0,0,1,0,0,0,,,,,,,,
qwen3-4b-scale-control,nickname-flaco,3,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",1,1,model,ACKNOWLEDGE,"Aparecía por casa, según mi vieja.","[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Aparecía por casa, según mi vieja.\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Aparecía por casa, según mi vieja.""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Aparecía por casa, según mi vieja."",""guard_outcome"":""accepted"",""round_trip_ms"":556.441,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-4b-scale-control,nickname-flaco,4,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",2,2,model,CLARIFY,¿Cómo era la manera en que tu vieja decía que aparecía por casa?,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Ah, interesante. ¿Podrías decirme más sobre cómo tu vieja lo mencionaba?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Ah, interesante. ¿Podrías decirme más sobre cómo tu vieja lo mencionaba?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Ah, interesante. ¿Podrías decirme más sobre cómo tu vieja lo mencionaba?"",""guard_outcome"":""rejected"",""round_trip_ms"":768.453,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Cómo era la manera en que tu vieja decía que aparecía por casa?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Cómo era la manera en que tu vieja decía que aparecía por casa?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Cómo era la manera en que tu vieja decía que aparecía por casa?"",""guard_outcome"":""accepted"",""round_trip_ms"":824.948,""error"":null}]",0,0,1,0,0,0,,,,,,,,
qwen3-4b-scale-control,nickname-flaco,5,Del Flaco yo no me acuerdo; mi vieja decía que aparecía por casa.,"Al Flaco lo veía a veces cerca del club. || Mi tío también hablaba de el Flaco, pero nunca supe el nombre.",3,,deterministic-fallback,INVITE_CONTINUE,Contame.,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Ah, entonces tu vieja decía que aparecía por casa. ¿Podrías decirme más sobre cómo se presentaba o qué hacía cuando estaba por allí?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Ah, entonces tu vieja decía que aparecía por casa. ¿Podrías decirme más sobre cómo se presentaba o qué hacía cuando estaba por allí?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Ah, entonces tu vieja decía que aparecía por casa. ¿Podrías decirme más sobre cómo se presentaba o qué hacía cuando estaba por allí?"",""guard_outcome"":""rejected"",""round_trip_ms"":1079.415,""error"":null},{""attempt"":2,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Podrías decirme más sobre cómo se presentaba o qué hacía cuando estaba por allí?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Podrías decirme más sobre cómo se presentaba o qué hacía cuando estaba por allí?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Podrías decirme más sobre cómo se presentaba o qué hacía cuando estaba por allí?"",""guard_outcome"":""rejected"",""round_trip_ms"":955.394,""error"":null},{""attempt"":3,""raw_model_output"":""{\""move\"":\""ACKNOWLEDGE\"",\""utterance\"":\""Entonces tu vieja decía que aparecía por casa. ¿Te refieres a que lo veías o que lo escuchabas?\""}"",""parsed_model_output"":{""move"":""ACKNOWLEDGE"",""utterance"":""Entonces tu vieja decía que aparecía por casa. ¿Te refieres a que lo veías o que lo escuchabas?""},""candidate_move"":""ACKNOWLEDGE"",""candidate_utterance"":""Entonces tu vieja decía que aparecía por casa. ¿Te refieres a que lo veías o que lo escuchabas?"",""guard_outcome"":""rejected"",""round_trip_ms"":1142.155,""error"":null}]",0,0,0,0,0,0,,,,,,,,
qwen3-4b-scale-control,place-bar,1,"A veces caía por el bar de la esquina, creo.",Nos encontrábamos en el bar de la esquina. || Mi hermana se acordaba del bar de la esquina por la radio.,1,1,model,CLARIFY,¿Puedes decirme más sobre cómo caía por el bar de la esquina?,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Puedes decirme más sobre cómo caía por el bar de la esquina?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Puedes decirme más sobre cómo caía por el bar de la esquina?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Puedes decirme más sobre cómo caía por el bar de la esquina?"",""guard_outcome"":""accepted"",""round_trip_ms"":1021.305,""error"":null}]",0,1,0,0,0,0,,,,,,,,
qwen3-4b-scale-control,place-bar,2,"A veces caía por el bar de la esquina, creo.",Nos encontrábamos en el bar de la esquina. || Mi hermana se acordaba del bar de la esquina por la radio.,1,1,model,CLARIFY,¿Puedes decirme más sobre cómo caía por el bar de la esquina?,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Puedes decirme más sobre cómo caía por el bar de la esquina?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Puedes decirme más sobre cómo caía por el bar de la esquina?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Puedes decirme más sobre cómo caía por el bar de la esquina?"",""guard_outcome"":""accepted"",""round_trip_ms"":813.729,""error"":null}]",0,1,0,0,0,0,,,,,,,,
qwen3-4b-scale-control,place-bar,3,"A veces caía por el bar de la esquina, creo.",Nos encontrábamos en el bar de la esquina. || Mi hermana se acordaba del bar de la esquina por la radio.,1,1,model,CLARIFY,¿Podrías decirme más sobre cómo caía por el bar de la esquina?,"[{""attempt"":1,""raw_model_output"":""{\""move\"":\""CLARIFY\"",\""utterance\"":\""¿Podrías decirme más sobre cómo caía por el bar de la esquina?\""}"",""parsed_model_output"":{""move"":""CLARIFY"",""utterance"":""¿Podrías decirme más sobre cómo caía por el bar de la esquina?""},""candidate_move"":""CLARIFY"",""candidate_utterance"":""¿Podrías decirme más sobre cómo caía por el bar de la esquina?"",""guard_outcome"":""accepted"",""round_trip_ms"":820.187,""error"":null}]",0,0,0,0,0,0,,,,,,,,
